CHROMOSOME	GENOME_START	GENE_SYMBOL
1	179068462	ABL2
1	243651535	AKT3
1	17866330	ARHGEF10L
1	27022524	ARID1A
1	150782181	ARNT
1	197053258	ASPM
1	116915290	ATP1A1
1	85731931	BCL10
1	147013182	BCL9
1	203274619	BTG2
1	6845384	CAMTA1
1	15817327	CASP9
1	193091147	CDC73
1	51426417	CDKN2C
1	36931644	CSF3R
1	162601163	DDR2
1	201977073	ELF3
1	205577071	ELK4
1	51819935	EPS15
1	161551101	FCGR2B
1	157543539	FCRL4
1	241660903	FH
1	78409740	FUBP1
1	226249552	H3F3A
1	23884409	ID3
1	65298912	JAK1
1	59246465	JUN
1	32716840	LCK
1	156052364	LMNA
10	52559169	A1CF
10	27035522	ABI1
10	88516407	BMPR1A
10	61548521	CCDC6
10	93806449	CPEB3
10	96796530	CYP2C8
10	90750414	FAS
10	123237848	FGFR2
10	8095567	GATA3
10	76585340	KAT6B
10	32297938	KIF5B
10	3818188	KLF6
10	855484	LARP4B
11	120207787	ARHGEF12
11	108093211	ATM
11	118764584	BCL9L
11	3022152	CARS
11	119076752	CBL
11	69455855	CCND1
11	46299212	CREB3L1
11	57520715	CTNND1
11	47236493	DDB2
11	108535752	DDX10
11	118620034	DDX6
11	44117099	EXT2
11	70049269	FADD
11	22644079	FANCF
11	92085262	FAT3
11	61560109	FEN1
11	532242	HRAS
11	128761251	KCNJ5
11	33880122	LMO2
11	65265233	MALAT1
12	52345451	ACVR1B
12	92536286	BTG1
12	4382938	CCND2
12	12867992	CDKN1B
12	6679249	CHD4
12	104849073	CHST11
12	122755979	CLIP1
12	48366748	COL2A1
12	57910371	DDIT3
12	1099675	ERC1
12	22778009	ETNK1
12	11802788	ETV6
12	57853918	GLI1
12	121416346	HNF1A
12	54366910	HOXC11
12	54332535	HOXC13
12	49412758	KMT2D
12	25357723	KRAS
12	59265931	LRIG3
13	32889611	BRCA2
13	28536274	CDX2
13	49280951	CYSLTR2
13	103497194	ERCC5
13	28577411	FLT3
13	41129804	FOXO1
13	92050929	GPC5
13	21547171	LATS2
13	46700055	LCP1
13	39917029	LHFPL6
14	105235686	AKT1
14	32545320	ARHGAP5
14	35221937	BAZ1A
14	99635624	BCL11B
14	20779527	CCNB1IP1
14	95552565	DICER1
14	38059189	FOXA1
14	93260576	GOLGA5
14	66974125	GPHN
14	62162231	HIF1A
14	102547075	HSP90AA1
14	NA	IGH
14	56025790	KTN1
14	65472892	MAX
15	45003675	B2M
15	91260558	BLM
15	40453224	BUB1B
15	55700746	C15orf65
15	93426526	CHD2
15	91073157	CRTC3
15	91426925	FES
15	45803334	HMGN2P46
15	90626277	IDH2
15	40886218	KNL1
15	40674922	KNSTRN
15	66679155	MAP2K1
16	337440	AXIN1
16	88941266	CBFA2T3
16	68771128	CDH1
16	64977656	CDH11
16	10971055	CIITA
16	67596310	CTCF
16	14014014	ERCC4
16	89803957	FANCA
16	9852376	GRIN2A
16	56965960	HERPUD1
16	27413483	IL21R
17	62006100	CD79B
17	57697219	CLTC
17	41605212	ETV4
17	9813926	GAS7
17	73772515	H3F3B
17	53342373	HLF
17	37921198	IKZF3
17	37026112	LASP1
