chr1	start1	end1	chr2	start2	end2
HPV	373	379	Chr6	126219434	126219634
HPV	4248	5145	Chr11	102170013	102170213
HPV	3984	4026	Chr1	144457292	144457492
HPV	945	1119	Chr14	22679425	22679625
HPV	916	938	Chr11	102170013	102170213
HPV	908	948	Chr18	26918162	26918362
HPV	717	802	Chr15	87230648	87230848
HPV	4300	4883	Chr11	17413016	17413216
HPV	914	1005	Chr1	53523519	53523719
HPV	638	855	Chr2	60582971	60583171
HPV	3421	3518	Chr6	126219434	126219634
HPV	1003	1051	Chr6	19947994	19948194
HPV	583	789	Chr9	94793880	94794080
HPV	3899	3982	Chr7	96475756	96475956
HPV	4294	4685	Chr1	67590402	67590602
HPV	653	771	Chr20	61595460	61595660
HPV	140	352	Chr17	63786880	63787080
HPV	125	456	Chr1	199625940	199626140
HPV	2831	3106	Chr15	83001084	83001284
HPV	5786	6312	Chr1	144457292	144457492
HPV	677	828	Chr9	94793880	94794080
HPV	611	828	Chr12	8580996	8581196
HPV	593	601	Chr20	61595460	61595660
HPV	872	950	Chr5	172681722	172681922
HPV	216	352	Chr19	5777076	5777276
HPV	607	658	Chr21	34859634	34859834
HPV	2797	3537	Chr6	135563074	135563274
HPV	5753	5909	Chr15	87230648	87230848
HPV	5755	6004	Chr7	116727250	116727450
HPV	4080	4097	Chr17	65613150	65613350
HPV	3030	3066	Chr7	96475756	96475956
HPV	3104	3810	Chr18	46426338	46426538
HPV	687	832	Chr3	136229392	136229592
HPV	6512	6566	Chr6	14060648	14060848
HPV	1038	1068	Chr18	21041048	21041248
HPV	6259	6479	Chr7	142286346	142286546
HPV	194	488	Chr11	7647149	7647349
HPV	3439	3619	Chr7	128628284	128628484
