Chromosome	Start	End	Num.Probes	Segment.Mean
chr1	61735	779685	55	2.01499
chr1	779685	3044579	639	2.82063
chr1	3044579	3073371	10	1.96285
chr1	3073371	8055321	3366	2.81471
chr1	8055321	8091422	15	4.11977
chr1	8091422	17008714	4848	2.88253
chr1	17008714	17017304	18	2.09714
chr1	17017304	17217693	53	3.05187
chr1	17217693	17236038	10	1.9764
chr1	17236038	20052439	2047	2.86917
chr1	20052439	20060665	11	4.09783
chr1	20060665	26959224	3995	2.88579
chr1	26959224	27040381	10	1.74526
chr1	27040381	30765417	1823	2.89718
chr1	30765417	30779891	10	2.02266
chr1	30779891	72765894	26680	2.85029
chr1	72765894	72811526	48	1.29594
chr1	72811526	104131263	20306	2.8092
chr1	104131263	104170912	12	1.77998
chr1	104170912	144887606	11061	2.84978
chr1	144887606	146566575	452	3.53
chr1	146566575	147280045	514	2.8548
chr1	147280045	148557481	132	3.38329
chr1	148557481	148627835	10	2.01447
chr1	148627835	149204565	132	2.90619
chr1	149204565	149291187	51	3.73492
chr1	149291187	149696811	45	2.76964
chr1	149696811	152442794	1394	3.51047
chr1	152442794	152571538	116	2.80944
chr1	152571538	152575355	10	4.47712
chr1	152575355	152762896	206	2.85025
chr1	152762896	152767808	11	4.11163
chr1	152767808	153074500	232	2.76083
chr1	153074500	153105602	25	2.17453
chr1	153105602	155656158	1331	2.98869
chr1	155656158	155683210	10	1.72353
chr1	155683210	157147859	720	2.95494
chr1	157147859	158377097	903	2.27486
chr1	158377097	158516040	138	0.656642
chr1	158516040	159488963	718	2.27855
chr1	159488963	161520744	1285	2.85736
chr1	161520744	161618141	21	2.16343
chr1	161618141	161620471	10	1.04383
chr1	161620471	161669820	35	2.12215
chr1	161669820	162173548	442	2.91284
chr1	162173548	162179156	10	1.72625
chr1	162179156	162260818	78	2.98712
chr1	162260818	163075754	683	2.237
chr1	163075754	164055310	679	2.85167
chr1	164055310	164756542	571	2.2405
chr1	164756542	164817121	54	2.85665
chr1	164817121	165480403	678	2.24081
chr1	165480403	166191203	535	2.84632
chr1	166191203	166546584	251	2.22808
chr1	166546584	166553295	10	1.13227
chr1	166553295	167290101	586	2.82625
chr1	167290101	167457945	107	2.10266
chr1	167457945	167976939	388	1.70041
chr1	167976939	168002576	12	1.1967
chr1	168002576	168343068	205	1.69397
chr1	168343068	168982539	581	2.81442
chr1	168982539	169162666	161	2.21595
chr1	169162666	172710338	2467	2.83115
chr1	172710338	173090373	240	2.19699
chr1	173090373	175263184	1202	1.66268
chr1	175263184	175413778	125	2.31111
chr1	175413778	176247453	576	1.63432
chr1	176247453	176512133	138	2.22724
chr1	176512133	183128751	4588	1.64841
chr1	183128751	183146412	10	1.06661
chr1	183146412	188256079	3423	1.64327
chr1	188256079	188294996	11	1.04604
chr1	188294996	193151581	3221	1.54538
chr1	193151581	193162409	20	2.14979
chr1	193162409	199107388	3912	1.5912
chr1	199107388	199114039	13	0.832962
chr1	199114039	210070029	7537	1.67323
chr1	210070029	210098542	10	1.09407
chr1	210098542	232894028	15616	1.63657
chr1	232894028	232910015	10	2.64099
chr1	232910015	240390885	5839	1.61812
chr1	240390885	240397066	10	0.887859
chr1	240397066	243046273	2106	1.62177
