X.chr	begin	relativeCvg
chr1	152882000	0.69
chr1	157106000	0.68
chr1	158184000	0.78
chr1	158212000	0.69
chr1	162748000	0.80
chr1	162792000	0.68
chr1	165850000	0.68
chr1	169260000	0.69
chr1	175012000	0.68
chr1	191344000	0.68
chr1	192570000	0.66
chr1	196738000	0.09
chr1	196750000	0.77
chr1	196756000	0.21
chr1	196782000	0.39
chr1	196792000	0.15
chr1	196802000	0.68
chr1	202822000	0.68
chr1	206190000	0.67
chr1	206584000	0.69
chr1	207538000	0.85
chr1	207558000	0.65
chr1	207732000	0.18
chr1	207740000	0.67
chr1	210096000	0.67
chr1	219760000	0.82
chr1	219788000	0.68
chr1	222642000	0.84
chr1	222694000	0.68
chr1	223724000	0.89
chr1	223797846	0.89
chr1	223800000	0.69
chr1	225736000	0.68
chr1	231090000	0.67
chr1	234964000	0.69
chr1	235242211	0.69
chr1	236878000	0.93
chr1	237546000	0.66
chr1	240222000	0.67
chr1	242204000	0.87
chr1	242222000	0.68
chr1	242412000	0.78
chr1	242530000	0.66
chr1	243134000	0.80
chr1	243376000	0.68
chr2	10000	0.62
chr2	3579312	0.62
chr2	4212000	0.13
chr2	4224000	0.63
chr2	5118788	0.63
chr2	5798000	0.64
chr2	73396000	0.93
chr2	78316000	0.89
chr2	78392000	0.92
chr2	79188000	0.91
chr2	82368000	0.91
chr2	123850000	0.63
chr2	158714000	0.65
chr2	180082000	0.66
chr2	199686000	0.66
chr2	200320000	0.08
chr2	200650000	0.65
chr2	213286000	0.07
chr2	213322000	0.64
chr2	230118000	0.64
chr2	234053741	0.64
chr2	239831978	0.64
chr2	240809132	0.64
chr2	243048000	0.91
chr2	243152476	0.91
chr3	60000	0.91
chr3	660000	0.94
chr3	20312000	0.23
chr3	20318000	0.94
chr3	32040000	0.06
chr3	70648000	0.94
chr3	76000000	0.94
chr3	89400000	0.11
chr3	89418000	0.92
chr3	93504854	0.92
chr3	116510000	0.35
chr3	116898000	0.92
chr3	162512000	0.62
chr3	162626000	0.91
chr3	174572000	0.62
chr3	174718000	0.08
chr3	174780000	0.40
chr3	174952000	0.36
chr3	175128000	0.39
chr4	5042000	0.63
chr4	9172000	0.63
chr4	15062000	0.65
chr4	15684000	0.93
chr4	20090000	0.91
chr4	31837417	0.91
chr4	32840638	0.91
chr4	34820000	0.92
chr4	40297096	0.92
chr4	49282000	0.62
chr4	86344000	0.64
chr4	191012000	0.80
chr5	10000	0.89
chr5	12818000	0.93
chr5	17580657	0.93
chr5	49984000	0.65
chr5	71182000	0.65
chr5	91686128	0.65
chr5	120424000	0.09
chr5	120468000	0.65
chr5	138837073	0.65
chr5	155188727	0.65
chr5	155500000	0.65
chr5	164500000	0.08
chr5	165254000	0.66
chr5	165270000	0.08
chr5	165568000	0.55
chr5	165574000	0.08
chr5	166394000	0.86
chr5	166398000	0.07
chr5	166500000	0.64
chr5	166662000	0.07
chr5	166910000	0.65
chr5	177180000	0.80
chr5	177224000	0.65
chr5	178114000	0.65
chr5	180698000	0.93
chr6	7212000	0.66
chr6	101572000	0.65
chr6	101650000	0.08
chr6	101802000	0.61
chr6	101836000	0.62
chr6	162504000	0.60
chr7	40000	0.64
chr7	282484	0.64
chr7	4622000	0.89
chr7	4642000	0.67
chr7	6978000	0.75
chr7	7050000	0.65
chr7	35126000	0.73
chr7	35212000	0.66
chr7	38400000	0.66
chr7	44000000	0.83
chr7	44082000	0.64
chr7	50410631	0.64
chr7	53190000	0.87
chr7	53238000	0.65
chr7	56762000	0.14
chr7	56770000	0.64
chr7	56804000	0.81
chr7	57196000	0.63
chr7	57560000	0.65
chr7	57604000	0.88
chr7	57812000	0.66
chr7	70114000	0.59
chr7	78322000	0.61
chr7	146476000	0.62
chr7	146540000	0.07
chr7	146602000	0.67
chr7	146608000	0.10
chr7	146626000	0.60
chr7	146632000	0.08
chr7	147010000	0.59
chr8	10000	0.92
chr8	166000	0.63
chr8	2254000	0.07
chr8	2264000	0.63
chr8	5598000	0.09
chr8	5606000	0.63
chr8	7524649	0.63
chr8	12141854	0.63
chr8	18794000	0.64
chr8	24992000	0.65
chr8	32690000	0.65
chr8	39232000	0.09
chr8	39386000	0.65
chr8	43098000	0.67
chr8	132326000	0.65
chr9	10000	0.87
chr9	52000	0.68
chr9	126000	0.75
chr9	188000	0.39
chr9	460000	0.92
chr9	25302000	0.64
chr9	27046000	0.92
chr9	39713686	0.92
chr9	40024796	0.92
chr9	40283029	0.92
chr9	40475834	0.92
chr9	40990341	0.92
chr9	41193214	0.92
chr9	41415793	0.92
chr9	42663955	0.92
chr9	42790000	0.91
chr9	43313698	0.91
chr9	43996569	0.91
chr9	44726646	0.91
chr9	44958293	0.91
chr9	45350203	0.91
chr9	45865521	0.91
chr9	46266430	0.91
chr9	46561039	0.91
chr9	47160133	0.91
chr9	65467679	0.91
chr9	65968360	0.91
chr9	66242215	0.91
chr9	66454656	0.91
chr9	66664195	0.91
chr10	114000	0.57
chr10	416000	0.85
chr10	566000	0.07
chr10	574000	0.86
chr10	18024675	0.86
chr10	31248000	0.14
chr10	31252000	0.86
chr10	53532000	0.58
chr11	60000	0.92
chr11	1212759	0.92
chr11	1636000	0.63
chr11	3412000	0.75
chr11	3620000	0.69
chr11	4188000	0.92
chr11	11404000	0.94
chr11	40322000	0.62
chr11	83086000	0.64
chr11	83870000	0.08
chr11	83938000	0.07
chr11	84666000	0.10
chr11	84748000	0.66
chr11	105582000	0.94
chr11	107784000	0.14
chr12	190000	0.67
chr12	868000	0.09
chr12	874000	0.67
chr12	7239876	0.67
chr12	8416000	0.76
chr12	8592000	0.66
chr12	9646000	0.78
chr12	9692000	0.67
chr12	11442000	0.83
chr12	11460000	0.67
chr12	24854000	0.90
chr12	24940000	0.66
chr12	25002000	0.91
chr12	25078000	0.67
chr12	25182000	0.88
chr12	25320000	0.67
chr12	33300000	0.10
chr12	33306000	0.66
chr12	37918000	0.67
chr12	37988000	0.94
chr12	38358000	0.69
chr12	38560000	0.87
chr12	38596000	0.66
chr12	39192000	0.89
chr12	39204000	0.66
chr12	51952000	0.88
chr12	51968000	0.67
chr12	54476000	0.78
chr12	54520000	0.68
chr12	58746000	0.94
chr12	97080000	0.93
chr12	109423470	0.93
chr12	121965236	0.93
chr12	122580623	0.93
chr12	123928280	0.93
chr12	123960821	0.93
chr12	132806992	0.93
chr13	36604000	0.64
chr13	36778000	0.65
chr13	38072000	0.14
chr13	38086000	0.65
chr13	63650000	0.64
chr13	100808000	0.67
chr13	108500000	0.63
chr14	29140000	0.54
chr14	33730000	0.70
chr14	34608000	0.74
chr14	35998000	0.78
chr14	36234000	0.71
chr14	36572000	0.75
chr14	36660000	0.57
chr14	79380000	0.07
chr14	83356000	0.79
chr14	86610000	0.85
chr14	87004000	0.86
chr15	61186000	0.63
chr16	446000	0.62
chr16	2070000	0.65
chr16	8694000	0.65
chr16	28416000	0.86
chr16	28432000	0.68
chr16	29196000	0.75
chr16	29316000	0.69
chr16	29448000	0.74
chr16	29550000	0.68
chr16	30200000	0.75
chr16	30302000	0.67
chr16	32040000	0.84
chr16	32228000	0.69
chr16	32292000	0.94
chr16	32660000	0.66
chr16	32752000	0.89
chr16	32892000	0.69
chr16	32984000	0.85
chr16	33140000	0.64
chr16	33296000	0.88
chr16	46506000	0.65
chr16	55824000	0.64
chr16	62486000	0.66
chr16	71204000	0.66
chr16	73106000	0.07
chr16	73414000	0.66
chr16	76452000	0.64
chr16	76544000	0.65
chr16	78386000	0.64
chr16	86516000	0.07
chr16	86588000	0.64
chr17	4860000	0.68
chr17	5046000	0.77
chr17	5070000	0.67
chr17	7546000	0.11
chr17	7688000	0.66
chr17	8832000	0.08
chr17	8896000	0.66
chr17	9142000	0.07
chr17	9520000	0.63
chr17	9526000	0.07
chr17	9580000	0.65
chr17	14096000	0.68
chr17	14162000	0.65
chr17	15154000	0.89
chr17	16530000	0.68
chr17	16570000	0.86
chr17	16768000	0.67
chr17	18288000	0.94
chr17	18754000	0.63
chr17	21686000	0.67
chr17	25372000	0.66
chr17	33444000	0.66
chr17	34548000	0.81
chr17	34592000	0.65
chr17	34650000	0.82
chr17	34725848	0.82
chr17	34758000	0.66
chr17	36284000	0.81
chr17	36352000	0.67
chr17	42142000	0.67
chr17	43520000	0.79
chr17	43572000	0.65
chr17	68544000	0.66
chr19	60000	0.94
chr19	262000	0.66
chr19	3168000	0.86
chr19	4124000	0.66
chr19	7398000	0.67
